category_id,category_name,has_wifi,has_ac,has_parking,avg_report_score,total_bookmarks,total_reports,hour_of_day,day_of_week,capacity_estimate,quiet_label
6,Masjid,1,0,0,3.59,118,42,9,3,1,2
5,Kampus,1,1,1,4.23,114,10,22,3,3,2
4,Coworking,1,1,1,2.72,124,40,14,6,3,1
4,Coworking,0,0,0,2.69,35,9,16,4,1,2
6,Masjid,0,0,0,2.62,106,3,16,4,2,1
4,Coworking,1,1,1,2.02,97,30,6,6,3,1
3,Taman,0,0,1,4.4,188,34,19,4,3,2
2,Kafe,1,0,0,4.17,173,25,18,2,3,1
4,Coworking,1,1,1,2.25,169,1,18,4,3,0
4,Coworking,0,1,0,3.01,116,20,18,2,1,1
4,Coworking,0,1,0,2.16,191,34,8,3,1,1
3,Taman,0,0,1,4.52,63,12,7,6,1,0
5,Kampus,0,0,1,3.11,65,49,12,3,3,1
5,Kampus,1,1,0,4.79,148,1,11,2,1,2
5,Kampus,1,1,0,2.73,176,40,12,0,3,0
6,Masjid,1,1,1,3.04,200,2,9,6,3,2
4,Coworking,1,0,1,3.3,125,6,6,6,2,2
3,Taman,1,1,1,2.81,133,41,19,1,3,1
5,Kampus,1,1,1,4.64,22,17,14,2,1,1
2,Kafe,1,1,1,3.46,83,11,16,0,2,2
3,Taman,1,0,1,2.26,132,12,14,4,1,0
6,Masjid,1,1,0,4.38,125,28,21,5,3,2
1,Perpustakaan,0,1,0,3.28,135,22,17,3,3,0
6,Masjid,1,0,0,2.58,30,46,15,2,1,2
1,Perpustakaan,1,1,1,4.17,123,17,12,1,3,1
5,Kampus,1,1,1,2.04,45,19,15,1,2,0
5,Kampus,0,0,0,3.47,163,48,15,5,1,1
1,Perpustakaan,1,1,0,4.47,122,7,11,0,2,0
4,Coworking,1,1,1,4.98,77,5,10,1,3,1
1,Perpustakaan,1,1,1,4.73,97,28,13,6,3,2
3,Taman,1,1,0,2.62,25,48,7,4,3,2
2,Kafe,0,0,0,4.07,104,28,8,1,1,1
4,Coworking,0,0,1,4.36,59,16,20,0,3,1
6,Masjid,1,1,0,4.73,165,9,9,4,1,2
2,Kafe,0,0,0,2.91,119,44,15,3,1,1
4,Coworking,1,1,0,2.97,110,47,8,4,1,2
3,Taman,0,0,1,2.12,68,36,6,6,3,0
2,Kafe,1,1,1,4.91,162,31,11,4,2,1
4,Coworking,1,0,1,2.86,177,31,11,2,2,0
4,Coworking,1,1,0,3.21,29,49,16,2,2,2
5,Kampus,1,0,1,3.09,48,33,20,3,1,1
4,Coworking,1,1,0,2.36,178,31,10,2,2,1
6,Masjid,1,0,0,4.98,23,14,6,4,2,2
1,Perpustakaan,1,0,1,2.82,130,45,21,5,2,1
4,Coworking,1,0,1,4.64,130,47,18,1,3,1
1,Perpustakaan,0,1,0,2.9,72,46,22,2,1,2
5,Kampus,1,1,1,3.66,88,21,20,4,2,1
5,Kampus,1,1,1,3.23,59,49,13,4,2,0
3,Taman,1,1,1,4.89,38,31,18,5,3,0
2,Kafe,1,1,1,4.17,116,0,20,0,3,1
4,Coworking,1,1,0,3.95,177,25,14,2,3,0
3,Taman,1,1,0,4.62,194,31,16,5,3,0
1,Perpustakaan,1,0,1,4.94,23,27,15,1,3,2
6,Masjid,1,0,0,2.17,83,50,15,0,1,2
3,Taman,1,0,1,4.61,20,39,11,1,1,2
5,Kampus,1,1,1,2.77,65,29,13,3,3,0
1,Perpustakaan,1,1,0,2.9,88,37,11,0,2,1
4,Coworking,1,1,0,3.14,27,15,18,6,2,1
3,Taman,1,1,0,4.33,144,43,18,2,1,0
1,Perpustakaan,1,1,1,2.66,155,22,15,6,1,2
2,Kafe,1,1,1,2.12,160,41,10,5,1,0
4,Coworking,0,0,0,2.6,106,11,15,2,3,2
5,Kampus,1,0,1,4.9,65,30,14,6,1,1
3,Taman,1,0,0,4.02,173,46,8,1,1,2
4,Coworking,1,1,0,3.36,137,7,18,0,2,1
6,Masjid,1,0,0,2.08,59,30,17,0,3,0
5,Kampus,1,1,1,2.35,166,26,20,5,2,2
1,Perpustakaan,1,0,0,3.36,34,24,9,1,3,2
6,Masjid,1,1,1,3.85,25,31,10,3,3,2
3,Taman,0,0,0,3.1,25,43,13,6,2,0
6,Masjid,1,0,0,2.64,23,42,9,6,2,2
6,Masjid,1,0,1,4.49,52,4,13,1,3,0
5,Kampus,0,0,1,2.83,152,0,16,6,1,1
2,Kafe,1,1,1,3.07,33,0,9,5,1,2
2,Kafe,1,0,0,4.24,134,7,10,5,2,0
4,Coworking,1,0,1,4.18,157,2,20,4,1,1
6,Masjid,1,1,1,2.32,109,43,7,3,2,2
6,Masjid,1,0,0,3.9,70,39,10,0,1,2
5,Kampus,1,0,1,2.3,154,27,15,3,3,0
6,Masjid,0,1,1,3.02,58,26,12,3,2,1
4,Coworking,1,1,0,4.06,95,9,16,5,2,1
4,Coworking,0,1,0,3.67,95,8,9,5,3,2
5,Kampus,1,1,1,4.6,192,27,19,2,3,1
6,Masjid,0,0,0,3.97,54,9,9,4,3,2
2,Kafe,1,0,1,4.42,146,14,9,6,2,0
5,Kampus,1,1,1,2.09,177,17,6,4,3,1
3,Taman,1,0,0,3.2,144,42,6,1,1,2
2,Kafe,1,1,0,3.02,107,29,22,1,2,0
3,Taman,1,0,1,3.85,40,48,8,0,1,2
6,Masjid,0,1,0,3.54,55,48,20,3,2,2
3,Taman,1,0,1,2.66,78,2,21,4,3,0
5,Kampus,0,0,1,2.36,74,20,10,6,2,1
4,Coworking,1,0,0,2.22,171,22,13,4,3,0
6,Masjid,0,0,1,4.13,146,25,16,4,2,2
4,Coworking,0,1,1,4.76,117,44,11,6,3,0
1,Perpustakaan,1,0,0,4.24,101,19,18,4,1,1
2,Kafe,1,0,1,3.05,49,49,9,4,3,1
6,Masjid,1,1,0,3.81,50,11,9,1,2,2
6,Masjid,0,1,1,3.35,194,37,20,6,3,2
5,Kampus,1,1,0,3.33,17,30,16,1,2,1
3,Taman,1,1,0,2.17,115,2,8,2,2,1
3,Taman,0,1,1,4.86,148,35,22,3,2,2
6,Masjid,1,1,1,2.45,121,32,12,2,3,1
1,Perpustakaan,1,1,1,2.74,44,2,8,4,3,1
4,Coworking,1,1,1,4.32,99,26,17,2,2,2
6,Masjid,1,1,1,3.16,142,43,8,2,1,2
3,Taman,1,1,1,2.42,149,42,10,2,1,0
3,Taman,1,1,1,3.68,21,19,10,4,3,1
6,Masjid,1,1,1,3.53,171,27,22,0,3,2
1,Perpustakaan,1,0,0,2.23,35,9,21,1,1,2
1,Perpustakaan,1,1,1,3.85,86,49,22,0,3,2
5,Kampus,1,0,1,3.09,11,26,11,5,2,0
6,Masjid,0,1,0,4.9,61,19,20,1,3,2
4,Coworking,1,0,1,3.51,199,24,20,3,2,2
4,Coworking,1,1,1,3.44,13,41,10,6,2,2
3,Taman,1,0,1,2.82,195,10,9,2,1,2
5,Kampus,0,1,1,3.24,89,1,13,6,2,0
4,Coworking,1,0,1,4.52,81,6,17,1,1,1
6,Masjid,1,0,0,3.41,194,45,21,5,1,2
5,Kampus,0,0,0,3.27,155,33,10,4,3,0
3,Taman,0,0,0,3.61,127,38,20,0,1,1
6,Masjid,1,0,0,3.71,90,15,19,0,3,2
2,Kafe,1,0,1,4.96,129,50,8,4,3,1
5,Kampus,0,1,0,3.07,191,1,18,2,2,1
1,Perpustakaan,1,1,1,3.02,90,34,16,1,1,2
6,Masjid,0,1,0,4.15,34,4,21,5,1,2
4,Coworking,0,0,1,4.97,131,25,7,2,2,2
5,Kampus,1,0,1,2.82,167,21,15,2,1,2
3,Taman,1,1,0,3.49,127,44,18,2,1,2
5,Kampus,0,0,0,2.96,139,18,19,4,1,1
1,Perpustakaan,1,0,0,3.34,113,22,19,1,3,1
6,Masjid,1,0,1,3.91,19,42,14,5,1,2
3,Taman,1,1,0,3.31,173,50,6,1,3,1
2,Kafe,0,1,0,4.04,154,9,18,4,1,2
3,Taman,1,1,1,2.84,80,41,22,2,2,2
1,Perpustakaan,0,0,1,2.64,180,28,9,2,2,2
5,Kampus,0,1,0,4.7,115,11,9,1,1,1
4,Coworking,1,1,1,3.65,181,4,16,5,2,0
3,Taman,1,1,1,2.36,130,14,11,6,2,0
2,Kafe,1,0,0,4.41,94,29,17,4,3,1
5,Kampus,0,1,0,3.23,122,33,18,5,3,1
4,Coworking,1,0,1,3.03,174,33,8,3,2,1
5,Kampus,1,0,1,2.46,31,33,19,4,1,1
2,Kafe,0,1,0,3.91,64,12,22,2,1,2
5,Kampus,0,1,1,4.82,43,37,8,4,3,1
2,Kafe,0,1,1,2.24,10,1,16,6,3,0
6,Masjid,1,0,0,4.67,7,31,19,4,3,2
5,Kampus,0,1,0,2.18,18,44,18,2,2,0
4,Coworking,1,1,0,4.96,81,46,10,2,3,2
3,Taman,1,0,0,2.8,119,7,9,2,1,2
2,Kafe,0,0,1,4.16,83,36,19,1,1,2
2,Kafe,1,1,1,4.84,5,5,21,2,2,2
5,Kampus,1,0,1,4.65,126,38,7,0,2,0
6,Masjid,1,0,0,3.1,67,46,9,3,1,2
4,Coworking,1,1,1,3.16,73,4,12,2,3,1
4,Coworking,1,0,1,4.38,100,23,9,1,1,2
3,Taman,1,0,0,2.12,10,2,22,3,3,1
6,Masjid,1,1,0,2.49,156,20,22,1,2,2
5,Kampus,1,0,0,2.9,181,36,22,4,2,2
1,Perpustakaan,1,1,1,2.08,176,40,15,6,3,2
4,Coworking,0,1,1,2.51,149,30,13,5,1,1
6,Masjid,1,1,0,2.57,179,7,13,0,3,1
4,Coworking,1,0,1,4.18,120,47,19,4,3,1
6,Masjid,0,0,0,3.38,80,11,21,4,2,2
5,Kampus,1,0,1,2.84,49,15,14,4,2,0
3,Taman,0,1,0,3.47,176,45,15,5,1,1
4,Coworking,1,1,1,3.63,146,43,14,2,1,1
4,Coworking,1,1,1,3.04,182,5,15,0,2,1
4,Coworking,1,1,0,2.33,69,8,14,4,3,2
6,Masjid,1,0,1,2.3,59,3,22,1,3,1
3,Taman,1,0,1,4.81,104,41,6,4,1,2
4,Coworking,1,0,1,2.27,15,49,16,2,3,0
5,Kampus,0,1,1,4.99,45,2,7,1,2,1
4,Coworking,1,0,1,3.81,76,36,15,0,1,2
3,Taman,0,1,1,2.58,119,17,21,1,3,1
1,Perpustakaan,1,1,1,2.89,86,50,11,0,3,0
6,Masjid,1,0,1,2.26,131,20,18,6,2,1
6,Masjid,0,1,0,3.34,98,15,13,0,2,1
3,Taman,1,0,1,2.71,92,44,6,2,3,1
6,Masjid,0,0,0,3.92,176,7,22,5,2,2
3,Taman,1,0,1,3.12,191,38,21,1,2,1
6,Masjid,1,1,1,3.79,174,48,12,6,1,1
1,Perpustakaan,1,1,0,3.72,129,12,9,0,3,2
2,Kafe,0,1,0,4.7,125,5,12,5,3,0
4,Coworking,1,1,1,4.02,143,29,20,4,1,1
3,Taman,1,0,1,3.03,11,27,12,4,1,1
1,Perpustakaan,1,0,1,4.31,104,11,21,0,2,2
6,Masjid,1,1,0,4.05,96,5,18,3,2,2
6,Masjid,1,0,1,2.38,100,33,9,1,3,1
2,Kafe,1,1,1,3.6,139,27,20,5,3,0
2,Kafe,0,0,0,4.3,107,39,9,0,3,1
1,Perpustakaan,0,0,1,2.73,180,3,20,4,3,2
1,Perpustakaan,1,0,0,4.45,74,14,7,1,3,1
6,Masjid,1,1,1,3.56,36,42,16,1,2,2
4,Coworking,1,0,1,3.49,109,35,11,5,3,0
3,Taman,1,1,1,2.9,104,9,16,5,2,0
2,Kafe,1,1,1,4.74,36,29,15,6,3,2
5,Kampus,1,1,1,3.94,52,21,18,1,2,1
4,Coworking,1,0,1,3.81,96,43,12,0,2,0
1,Perpustakaan,1,0,1,4.87,85,19,12,3,1,2
1,Perpustakaan,0,0,1,2.61,154,45,21,1,3,2
2,Kafe,1,1,0,4.65,92,32,17,2,2,2
4,Coworking,0,1,0,2.14,80,26,16,1,2,0
2,Kafe,1,0,1,2.69,50,21,19,2,1,0
5,Kampus,1,1,1,4.22,185,41,16,2,2,2
4,Coworking,0,1,0,3.57,164,3,21,1,3,1
1,Perpustakaan,1,1,1,4.12,59,4,19,1,3,2
1,Perpustakaan,0,1,0,3.6,4,0,21,5,2,2
4,Coworking,0,1,0,3.29,178,43,15,0,3,0
2,Kafe,0,0,0,2.8,64,22,12,4,3,0
4,Coworking,0,1,0,4.48,76,43,13,5,1,0
1,Perpustakaan,1,1,1,3.43,96,35,8,3,2,2
6,Masjid,0,0,0,4.68,144,6,19,5,2,2
1,Perpustakaan,0,1,1,4.78,19,43,21,2,1,2
5,Kampus,1,0,1,4.26,150,9,16,0,1,2
6,Masjid,1,1,0,3.0,173,34,13,4,2,0
6,Masjid,0,1,1,3.31,13,6,22,5,2,2
1,Perpustakaan,1,1,1,2.82,7,40,18,6,2,2
4,Coworking,1,0,1,3.14,149,42,19,1,3,2
5,Kampus,0,0,0,3.9,182,50,14,1,2,0
6,Masjid,1,0,0,2.31,194,17,15,3,2,2
1,Perpustakaan,0,1,1,3.66,22,22,19,0,1,2
5,Kampus,1,0,0,4.17,199,5,15,3,2,0
5,Kampus,1,1,1,2.81,43,8,11,5,2,1
3,Taman,1,0,0,3.08,200,4,19,2,2,1
2,Kafe,1,1,1,4.85,77,0,20,0,1,1
3,Taman,1,0,1,2.41,166,38,20,2,2,1
3,Taman,1,1,0,4.08,74,47,11,3,2,0
4,Coworking,1,1,0,4.8,93,7,14,6,2,1
2,Kafe,1,1,1,3.32,181,13,6,5,2,1
3,Taman,1,0,1,2.91,35,40,19,5,2,2
3,Taman,1,1,1,3.2,122,37,8,3,3,0
5,Kampus,1,1,0,3.78,179,34,7,6,2,2
1,Perpustakaan,0,0,1,4.95,11,36,11,5,3,1
6,Masjid,1,1,0,2.67,25,16,19,0,1,2
6,Masjid,1,1,1,4.04,118,49,20,2,2,2
6,Masjid,1,0,0,4.49,21,7,9,2,2,2
6,Masjid,0,0,0,2.29,89,30,12,4,2,0
6,Masjid,1,0,0,4.03,165,6,9,0,2,2
2,Kafe,1,1,1,2.7,109,29,11,2,3,0
4,Coworking,1,0,1,3.35,157,12,18,0,3,0
4,Coworking,1,1,0,3.1,137,11,8,4,1,2
2,Kafe,1,0,1,3.83,152,24,22,5,2,1
5,Kampus,0,0,0,4.76,180,19,11,6,3,0
5,Kampus,0,0,0,2.42,95,44,15,0,1,1
4,Coworking,1,0,0,4.76,137,44,11,3,3,1
2,Kafe,1,1,0,4.6,158,3,16,6,2,1
1,Perpustakaan,1,0,0,3.48,104,43,22,5,2,2
6,Masjid,1,1,0,2.82,74,2,6,6,1,2
5,Kampus,0,1,1,2.34,28,36,21,4,3,0
5,Kampus,1,0,1,2.66,112,34,7,6,3,1
4,Coworking,0,1,1,3.05,115,16,15,6,1,2
1,Perpustakaan,1,1,1,3.05,150,44,13,1,3,1
6,Masjid,1,1,1,3.05,15,36,12,6,1,2
3,Taman,1,0,1,4.96,68,32,15,2,3,2
6,Masjid,1,0,1,4.1,167,8,19,0,2,2
2,Kafe,0,1,1,2.81,147,40,18,3,1,1
4,Coworking,1,0,1,4.08,191,17,8,3,3,1
3,Taman,1,1,1,4.09,162,42,8,5,2,1
1,Perpustakaan,1,0,1,3.01,82,18,12,3,2,2
5,Kampus,0,1,1,4.51,160,50,7,0,1,2
1,Perpustakaan,0,1,0,4.65,176,8,6,3,1,2
3,Taman,0,1,0,4.71,95,42,17,2,1,2
2,Kafe,0,1,1,2.29,23,45,13,3,3,0
2,Kafe,1,0,0,4.45,178,21,20,0,1,2
4,Coworking,1,1,0,3.1,26,20,8,5,1,1
3,Taman,0,1,1,3.59,36,4,10,5,3,1
1,Perpustakaan,1,0,0,3.85,38,26,12,5,3,1
4,Coworking,1,0,0,4.89,98,22,9,4,3,2
3,Taman,1,0,1,3.82,153,46,13,4,3,1
6,Masjid,0,1,1,4.24,130,12,12,4,3,1
3,Taman,1,1,1,3.5,28,15,13,3,2,2
5,Kampus,0,1,0,3.26,99,36,17,2,1,0
5,Kampus,1,1,1,2.79,17,0,8,0,3,0
1,Perpustakaan,1,1,0,3.25,128,49,15,5,3,2
6,Masjid,1,1,1,3.53,79,5,10,2,1,2
2,Kafe,1,0,0,4.86,111,46,8,2,3,2
2,Kafe,0,0,0,4.0,14,19,20,4,3,1
6,Masjid,1,0,1,3.55,88,33,6,1,2,2
6,Masjid,0,0,1,3.01,197,1,14,5,1,1
4,Coworking,0,0,1,2.17,130,23,8,3,2,1
5,Kampus,0,0,1,2.13,130,0,9,1,3,0
1,Perpustakaan,0,1,0,4.22,141,45,10,1,1,2
4,Coworking,0,0,1,2.36,146,23,16,2,1,1
6,Masjid,1,0,1,4.32,119,18,7,3,1,2
3,Taman,1,1,0,4.22,200,19,12,2,3,0
2,Kafe,1,1,0,2.74,194,50,12,5,3,0
1,Perpustakaan,1,0,1,3.13,194,42,6,2,1,2
6,Masjid,1,0,1,4.13,15,9,13,3,2,1
1,Perpustakaan,0,0,1,2.25,117,47,19,5,2,2
1,Perpustakaan,1,1,0,2.88,33,15,7,3,3,2
3,Taman,1,0,1,2.22,69,14,16,2,2,0
2,Kafe,0,1,0,3.22,119,20,9,1,2,1
5,Kampus,1,1,0,4.42,23,10,20,2,1,2
3,Taman,1,1,0,4.91,182,15,16,1,1,1
4,Coworking,1,1,0,4.24,115,35,11,0,2,0
2,Kafe,0,0,1,2.39,199,14,9,0,1,0
4,Coworking,1,1,1,2.59,5,4,14,6,1,1
6,Masjid,1,0,1,2.5,118,3,16,0,1,2
5,Kampus,1,1,0,2.64,44,22,18,5,2,2
2,Kafe,0,1,0,4.65,127,26,13,5,2,1
4,Coworking,0,0,0,4.98,63,40,12,5,3,1
5,Kampus,1,1,1,3.03,200,31,17,3,3,1
5,Kampus,1,0,0,2.84,7,49,16,4,1,0
4,Coworking,1,1,1,2.8,168,15,11,0,1,1
6,Masjid,0,1,0,3.78,45,15,18,2,1,2
6,Masjid,1,1,0,4.85,36,36,17,4,3,2
4,Coworking,1,0,0,3.58,56,1,7,1,3,1
1,Perpustakaan,1,1,1,2.07,82,3,16,5,1,2
5,Kampus,1,0,0,4.11,18,23,22,6,2,2
6,Masjid,1,0,0,3.92,111,50,10,1,3,1
4,Coworking,1,0,1,3.14,150,11,17,1,3,1
6,Masjid,1,0,1,3.81,8,11,18,6,3,2
5,Kampus,0,1,1,3.04,19,15,10,2,3,0
3,Taman,0,1,0,2.75,67,13,16,3,1,1
1,Perpustakaan,1,1,1,4.91,187,26,7,3,2,2
4,Coworking,1,0,1,4.27,147,41,9,6,2,2
2,Kafe,0,0,1,2.22,66,6,15,0,2,0
2,Kafe,1,0,0,4.11,157,30,8,2,3,1
4,Coworking,1,0,1,4.92,84,13,11,0,1,1
4,Coworking,1,1,1,2.29,76,15,14,5,2,1
4,Coworking,1,1,0,4.47,22,18,17,0,2,2
6,Masjid,1,0,0,4.53,20,30,11,5,2,2
3,Taman,1,1,1,2.55,139,24,14,0,3,0
4,Coworking,1,1,0,2.18,68,36,20,2,1,2
6,Masjid,1,0,0,2.18,58,35,19,6,3,2
4,Coworking,1,1,1,2.24,121,19,21,4,1,2
6,Masjid,0,1,1,4.92,44,10,10,0,2,2
2,Kafe,0,1,1,2.77,37,38,19,1,3,0
6,Masjid,1,0,0,3.37,70,33,18,4,2,1
1,Perpustakaan,1,1,1,3.7,38,9,19,0,2,1
5,Kampus,1,1,1,4.63,137,22,9,6,2,1
3,Taman,1,1,1,3.85,103,9,7,1,2,1
6,Masjid,1,0,1,3.43,12,47,16,5,1,2
3,Taman,1,0,1,4.05,125,44,15,2,2,1
2,Kafe,0,1,0,3.94,106,38,16,2,3,2
2,Kafe,1,1,0,3.55,95,3,21,6,3,1
2,Kafe,0,1,0,4.63,44,12,22,4,1,1
2,Kafe,1,0,0,4.47,70,23,17,5,1,0
5,Kampus,1,1,1,2.53,152,28,13,2,2,1
4,Coworking,1,0,0,2.08,23,18,14,5,3,0
1,Perpustakaan,0,1,1,2.81,173,13,13,5,1,2
4,Coworking,1,1,1,3.8,165,11,6,3,1,2
1,Perpustakaan,0,1,1,2.76,89,29,14,3,2,1
4,Coworking,1,1,1,3.68,169,23,9,0,3,0
5,Kampus,1,0,0,4.58,163,20,8,2,2,2
3,Taman,1,1,1,4.7,195,15,12,1,3,1
5,Kampus,1,0,0,4.72,75,16,6,5,2,2
4,Coworking,1,0,1,4.06,182,14,12,2,3,0
6,Masjid,1,1,1,2.54,168,35,22,2,1,2
1,Perpustakaan,1,1,1,2.67,167,5,11,5,2,1
2,Kafe,1,0,1,3.39,149,18,16,2,2,1
1,Perpustakaan,1,1,1,4.6,128,7,8,3,1,2
4,Coworking,1,1,1,4.96,87,26,10,1,1,2
4,Coworking,0,1,0,2.94,161,11,8,3,2,1
1,Perpustakaan,0,0,1,4.29,125,50,11,4,1,2
1,Perpustakaan,0,1,0,3.6,1,2,19,3,2,2
6,Masjid,1,0,0,3.88,173,0,22,1,1,2
2,Kafe,0,1,0,2.5,150,19,9,3,3,1
1,Perpustakaan,0,0,1,3.03,175,8,22,2,2,2
4,Coworking,1,0,1,4.95,57,46,18,0,1,1
2,Kafe,1,1,0,4.63,9,24,17,5,3,2
3,Taman,1,1,1,2.14,167,1,7,5,1,1
1,Perpustakaan,1,0,1,4.06,52,44,21,5,1,2
1,Perpustakaan,1,1,1,3.26,179,8,14,4,3,2
1,Perpustakaan,1,1,0,4.33,155,12,9,3,1,2
5,Kampus,1,0,0,4.06,127,13,11,0,3,1
4,Coworking,1,0,1,2.45,171,31,9,6,3,1
1,Perpustakaan,1,0,1,2.79,116,18,14,5,1,2
1,Perpustakaan,0,0,0,4.22,80,27,15,2,3,2
1,Perpustakaan,1,1,0,3.07,43,21,10,5,3,2
4,Coworking,1,0,1,3.2,46,7,17,6,2,2
4,Coworking,0,0,1,4.09,28,8,19,5,1,2
1,Perpustakaan,1,1,0,2.54,173,28,21,6,3,2
4,Coworking,1,1,1,3.32,28,26,10,3,2,1
1,Perpustakaan,0,0,1,3.7,147,46,22,6,3,2
6,Masjid,1,1,1,3.45,186,15,9,3,3,2
6,Masjid,1,0,1,4.55,40,32,7,0,3,1
4,Coworking,1,0,0,2.67,12,32,13,2,2,0
6,Masjid,1,1,0,4.57,114,5,20,6,3,1
4,Coworking,1,1,1,3.67,105,2,6,0,2,2
1,Perpustakaan,1,1,1,4.01,52,41,15,4,3,2
3,Taman,1,0,0,3.8,196,39,20,2,3,2
6,Masjid,1,1,0,4.89,90,40,13,0,2,2
3,Taman,1,0,0,4.16,183,47,11,3,1,2
1,Perpustakaan,0,0,0,4.15,200,12,18,1,2,1
1,Perpustakaan,1,0,1,3.77,117,42,9,6,2,1
5,Kampus,0,1,1,4.77,149,30,7,4,2,2
2,Kafe,1,0,1,4.65,153,38,9,3,3,1
5,Kampus,1,1,1,3.36,87,18,13,2,2,0
2,Kafe,0,1,1,4.14,140,20,22,2,3,0
5,Kampus,1,0,1,4.94,172,8,15,5,2,1
6,Masjid,1,0,1,3.69,194,22,16,5,1,1
5,Kampus,1,1,0,2.32,3,33,15,6,2,1
4,Coworking,0,1,0,4.52,64,9,11,2,3,1
6,Masjid,1,0,1,4.6,26,39,17,6,2,2
6,Masjid,1,0,1,4.4,200,50,18,1,3,1
3,Taman,1,0,0,2.16,80,35,19,6,3,0
6,Masjid,0,1,1,4.13,162,45,20,6,1,2
3,Taman,1,1,1,2.22,45,43,12,2,2,1
2,Kafe,1,0,0,3.75,33,10,14,4,2,0
3,Taman,0,1,1,4.32,152,3,7,1,2,2
6,Masjid,1,1,0,2.66,81,33,17,0,3,1
2,Kafe,1,1,0,3.99,56,13,18,0,2,0
3,Taman,1,0,1,2.03,192,41,22,3,3,1
6,Masjid,1,0,1,4.75,82,24,13,0,3,1
1,Perpustakaan,1,1,0,3.34,131,32,22,6,2,2
1,Perpustakaan,0,1,0,3.6,197,34,8,0,1,2
6,Masjid,0,1,1,4.49,52,34,19,6,1,2
6,Masjid,1,1,1,2.11,183,21,10,0,2,1
1,Perpustakaan,0,1,1,3.89,99,28,13,2,2,1
4,Coworking,1,0,0,4.27,158,4,6,5,3,2
5,Kampus,0,1,0,3.82,175,19,22,0,2,2
3,Taman,1,1,0,2.41,136,14,6,3,1,1
4,Coworking,1,1,0,3.12,186,41,10,2,3,1
1,Perpustakaan,1,1,0,3.64,100,34,6,4,3,2
1,Perpustakaan,1,1,1,2.43,165,32,17,1,2,1
2,Kafe,0,1,0,4.8,13,48,11,5,3,0
5,Kampus,1,1,0,3.74,50,46,8,2,1,1
3,Taman,1,1,0,3.46,49,20,15,4,1,0
